PreProcessing,dataset,TP,FP,FN,precision,recall,avg_pre_processing_time,avg_classification_time,avg_total_time,avg_level_weights,std_level_weights
tvChambolle,BioID,-0.0874424720578566,-0.1571334648257725,0.08744247205785667,0.13648264913454,-0.0874424720578566,6507903.931717095,-47.36865464867947,900.0122858695896,-44.57314652546512,-18.76006583654837
tvChambolle,SoF,-0.18407212622088653,-0.19834710743801653,0.18407212622088653,0.18136069926281873,-0.18407212622088653,20137218.521253426,-45.322004364690216,1416.4153165812625,-43.42226204763322,-14.520250364453219
tvChambolle,mit_cbcl,-0.594,-0.002,0.5940000000000001,0.0021276595744680327,-0.594,965658.60165218,-37.036582588971214,290.55379024818507,-94.89882269058776,-64.97828484852658
tvChambolle,caltech,-0.006666666666666599,-0.2222222222222222,0.006666666666666666,0.10977688332339486,-0.006666666666666599,26166782.551945925,-56.52408193627786,740.220161875124,-8.746359916651032,-1.2371196316704172
tvChambolle,yale,-0.0060606060606061,0.0,0.006060606060606061,0.0,-0.0060606060606061,2538499.893271346,-43.79389129640811,444.80870736445206,-30.71345213269413,8.069429710869317
tvChambolle,orl,-0.3375,-0.005,0.3375,0.005319148936170248,-0.3375,1028199.3118994808,-20.051874391432982,459.6671800650328,-86.0519764446697,-48.89028978571974
tvChambolle,TotalFace,-0.27090858571825505,-0.12128368991386496,0.2709085857182551,0.0983038594706519,-0.27090858571825505,12300752.692161268,-47.60078385834696,1094.3996658885399,-59.43547049163107,-10.250692815930707
tvChambolle,NonFace,0.2158968850698174,-0.38131041890440387,0.0,0.0,0.3094890809654234,5617754.079468193,-61.46681464378797,670.0541185101547,-78.21032954154293,-46.18546992669519
