PreProcessing,dataset,TP,FP,FN,precision,recall,avg_pre_processing_time,avg_classification_time,avg_total_time,avg_level_weights,std_level_weights
bilateral,yale,0.0,0.012121212121212121,0.0,-0.0119760479041916,0.0,2418449.9973163,217.25660274902506,682.7025224921088,-1.3595509560520098,-3.946242225373649
bilateral,caltech,0.0022222222222222365,0.11555555555555552,-0.0022222222222222222,-0.04532882967705498,0.0022222222222222365,7054972.147572584,130.0975849291338,344.90781775835455,-1.0241602547355888,8.14358055939648
bilateral,mit_cbcl,-0.03249999999999997,0.0,0.0325,-7.619717484330657e-05,-0.03249999999999997,223527.42534009804,21.704867777341953,97.524121175445,-11.5988934045801,5.044457423397327
bilateral,orl,0.0024999999999999467,0.0024999999999999996,-0.0025000000000000022,-0.00261735900033766,0.0024999999999999467,219757.61586907288,38.74472162235821,141.25526832732916,-2.4725315148237548,-4.545035036017288
bilateral,BioID,-0.0006574621959236637,-0.00986193293885601,0.0006574621959237366,0.007407703212666927,-0.0006574621959236637,1730819.375965976,126.89782025096686,378.83963604174164,6.009737741177095,-10.54642594056868
bilateral,SoF,-0.005634861006761804,-0.019158527422990235,0.005634861006761832,0.013912102579990648,-0.005634861006761804,3879404.0757355206,88.15857704733544,369.7529833176188,-0.626268294438297,0.6749784105397658
bilateral,TotalFace,-0.010975270908585633,-0.001528202278410662,0.010975270908585716,-0.0002980550644102742,-0.010975270908585633,2679296.4753830894,100.20330321618415,348.93861106686063,-2.681479232112464,-0.22257482921043042
bilateral,NonFace,-0.007518796992481147,-0.02148227712137485,0.0,0.0,0.008171564226726824,1468435.0961239946,131.6544348201724,322.84880476140535,-2.7325346322659003,1.8060104465959477
bilateral,yale,-0.018181818181818188,0.012121212121212121,0.01818181818181818,-0.012195121951219523,-0.018181818181818188,12010191.98048744,45.33657264313487,2356.972527616088,-24.486503044598496,15.690855151836027
bilateral,caltech,0.0,-0.10666666666666663,0.0,0.04894622093023249,0.0,62142572.835930854,45.392490423029656,1937.546941810788,-2.827994072108666,1.1721878683786353
bilateral,mit_cbcl,-0.14149999999999996,-0.0005,0.1415,0.00024796032634777365,-0.14149999999999996,2097228.4036080805,0.8557705770640005,712.2927152196777,-56.830618246062045,-14.883863078547874
bilateral,orl,-0.032500000000000084,-0.005,0.0325,0.005319148936170248,-0.032500000000000084,2056410.1872858403,20.232016471586824,979.6473705210228,-32.77431705436723,-16.371184618980717
bilateral,BioID,-0.01643655489809337,-0.09072978303747535,0.016436554898093363,0.07308809830923635,-0.01643655489809337,17567487.485108852,82.6756388599287,2640.0126136941094,-18.029215495368934,-10.459181439055397
bilateral,SoF,-0.05709992486851989,-0.1115702479338843,0.05709992486851989,0.08842870984113316,-0.05709992486851989,40446229.20809724,39.05593692939543,2974.9913299239147,-13.265692890046305,-3.409720369668359
bilateral,TotalFace,-0.06612948041122535,-0.06724090025006946,0.06612948041122534,0.05254826752157549,-0.06612948041122535,26566691.794043932,43.68834439945738,2510.123321185198,-28.8621891124442,-5.706125834330096
bilateral,NonFace,0.13856068743286798,-0.26208378088077333,0.0,0.0,0.2003238680055457,13958467.145210488,39.387748906670254,1856.9771685622275,-50.626604676378115,-26.26144286954143
bilateral,yale,-0.018181818181818188,0.006060606060606061,0.01818181818181818,-0.006134969325153339,-0.018181818181818188,14183051.781047305,40.45432191380411,2770.3093274110743,-27.273665908015342,16.614259182356587
bilateral,caltech,0.0,-0.13111111111111107,0.0,0.06121519946759335,0.0,73458330.14119211,41.278112703740604,2277.981928622887,-4.0094534298878,-1.4258426181650212
bilateral,mit_cbcl,-0.1429999999999999,-0.0005,0.143,0.0002444204030932484,-0.1429999999999999,2475133.226504938,0.8620855495134253,840.4946798973615,-59.471766041478126,-18.62815578873048
bilateral,orl,-0.04500000000000004,-0.005,0.045,0.005319148936170248,-0.04500000000000004,2407986.515935952,20.588819516747627,1144.0330751082276,-36.01640190799732,-12.033072107569348
bilateral,BioID,-0.02432610124917811,-0.1091387245233399,0.024326101249178174,0.08956445948020253,-0.02432610124917811,20738252.147863958,77.23478650724643,3096.149764045789,-22.694524670224794,-9.271811977443425
bilateral,SoF,-0.06386175807663408,-0.13072877535687455,0.06386175807663413,0.10782219757330469,-0.06386175807663408,47489174.38866152,35.39232783009184,3482.566052664232,-15.544491941757856,-4.391542642981192
bilateral,TotalFace,-0.07140872464573489,-0.07988330091692136,0.07140872464573493,0.06486676293277771,-0.07140872464573489,31259627.29672096,39.93899941803435,2942.0642247088,-31.808961245080685,-6.879027503004269
bilateral,NonFace,0.14822771213748664,-0.2738990332975295,0.0,0.0,0.21114806593373636,16677444.977899626,39.200405045548536,2210.8401351915713,-52.53087359353897,-25.033655680265944
bilateral,yale,-0.0060606060606061,0.012121212121212121,0.006060606060606061,-0.012048192771084376,-0.0060606060606061,8620600.998748982,64.87151587468993,1724.0969902740453,-17.332396426707213,11.898191444679398
bilateral,caltech,0.0,-0.06666666666666665,0.0,0.029754541598925544,0.0,43927851.383792944,62.443402562531624,1399.984130348866,-0.4406583578509881,0.8330443155158833
bilateral,mit_cbcl,-0.11049999999999993,-0.0015,0.11049999999999999,0.001523794840168513,-0.11049999999999993,1472176.8609928475,4.383309058871871,503.78447827880433,-47.224392734434694,-6.800302620618577
bilateral,orl,-0.012500000000000067,-0.0025,0.012499999999999997,0.002616446233467573,-0.012500000000000067,1415662.3572762087,23.06420988337996,683.5352796254085,-25.787892749023705,-16.77657220942483
