Sigma,dataset,TP,FP,FN,precision,recall,avg_pre_processing_time,avg_classification_time,avg_total_time,avg_level_weights,std_level_weights
23,BioID,0.002629848783694988,0.011176857330703477,-0.002629848783694936,-0.00797934010777801,0.002629848783694988,13771.599250417023,38.20867025270401,40.20787889515304,0.28360556584145147,1.0262472456089402
23,SoF,0.001126972201352383,-0.012772351615326832,-0.0011269722013523553,0.010277037429888836,0.001126972201352383,18427.683146070223,29.342728725123713,30.678239896891263,-0.7115568606964938,0.411671590997842
23,mit_cbcl,-0.0044999999999999485,-0.001,0.004500000000000004,0.0010575686167366705,-0.0044999999999999485,8285.69143653427,6.819737759383263,9.62815747165426,-4.929637940860395,0.017322007127364827
23,caltech,0.0022222222222222365,0.12222222222222223,-0.0022222222222222222,-0.04777756939234812,0.0022222222222222365,21241.43064428296,18.18645438629403,18.8326729683006,-1.422188118474591,10.31712520162482
23,yale,0.0,0.006060606060606061,0.0,-0.0060240963855421326,0.0,12653.486538151881,22.37791836421446,24.809073095490245,-0.963871439641551,6.217935819948243
23,orl,-0.0050000000000000044,0.0024999999999999996,0.0050000000000000044,-0.002680851063829759,-0.0050000000000000044,8872.29496809711,14.41989081743284,18.552560952111072,-0.4747538539632199,-1.0533511386712198
23,TotalFace,-0.00041678243956655425,0.005279244234509595,0.00041678243956655425,-0.004367373552333409,-0.00041678243956655425,14861.770757230568,26.10010851673476,27.47744512489391,-1.8502180689450625,0.21147664546361167
23,NonFace,-0.02148227712137485,0.03329752953813109,0.0,0.0,-0.0239137064587559,13155.616967029897,14.049968686077827,15.761191006307671,6.374270322414585,2.8432581677416935
9,BioID,0.002629848783694988,0.011176857330703477,-0.002629848783694936,-0.00797934010777801,0.002629848783694988,3535.5835860433735,6.652379165755411,7.166095696732699,0.33593231473516955,1.027160585430975
9,SoF,0.001126972201352383,-0.012772351615326832,-0.0011269722013523553,0.010277037429888836,0.001126972201352383,4370.157082691445,-4.240161943079778,-3.922630238728291,-0.7115568606964938,0.411671590997842
9,mit_cbcl,-0.0044999999999999485,-0.001,0.004500000000000004,0.0010575686167366705,-0.0044999999999999485,2443.1402485968783,-11.289981807194168,-10.45737194291996,-4.929637940860395,0.017322007127364827
9,caltech,0.0022222222222222365,0.12222222222222223,-0.0022222222222222222,-0.04777756939234812,0.0022222222222222365,4846.644529470041,-18.246996687694484,-18.09886743490351,-1.422188118474591,10.31712520162482
9,yale,0.0,0.006060606060606061,0.0,-0.0060240963855421326,0.0,3084.706011073356,-14.529459580954473,-13.932938625856734,-0.963871439641551,6.217935819948243
9,orl,-0.0050000000000000044,0.0024999999999999996,0.0050000000000000044,-0.002680851063829759,-0.0050000000000000044,2462.224913432265,-9.883329930477593,-8.729959870739211,-0.4747538539632199,-1.0533511386712198
9,TotalFace,-0.00041678243956655425,0.005279244234509595,0.00041678243956655425,-0.004367373552333409,-0.00041678243956655425,3689.935768878339,-6.9117325338563695,-6.568518969802336,-1.8378944697505621,0.2176552406629577
9,NonFace,-0.02148227712137485,0.03329752953813109,0.0,0.0,-0.0239137064587559,3507.5540576200674,-11.648850136475595,-11.190598957911442,6.217328062466521,2.7271031889930395
7,BioID,0.002629848783694988,0.011176857330703477,-0.002629848783694936,-0.00797934010777801,0.002629848783694988,3803.1586046027173,37.0442356119899,37.59247956900747,0.28360556584145147,1.0262472456089402
7,SoF,0.001126972201352383,-0.012772351615326832,-0.0011269722013523553,0.010277037429888836,0.001126972201352383,5005.150165687582,27.317529101639494,27.67886338215334,-0.7915539468062012,0.3907034220023471
7,mit_cbcl,-0.0044999999999999485,-0.001,0.004500000000000004,0.0010575686167366705,-0.0044999999999999485,2336.804906497086,8.669219565466348,9.458986866364118,-4.929637940860395,0.017322007127364827
7,caltech,0.0022222222222222365,0.12222222222222223,-0.0022222222222222222,-0.04777756939234812,0.0022222222222222365,5437.131834123188,17.42505209892051,17.59007471281657,-1.422188118474591,10.31712520162482
7,yale,0.0,0.006060606060606061,0.0,-0.0060240963855421326,0.0,3315.8190649991952,15.849718765663019,16.484875688990623,-0.963871439641551,6.217935819948243
7,orl,-0.0050000000000000044,0.0024999999999999996,0.0050000000000000044,-0.002680851063829759,-0.0050000000000000044,2353.0707079575177,18.648081044724737,19.73721343683818,-0.4747538539632199,-1.0533511386712198
7,TotalFace,-0.00041678243956655425,0.005279244234509595,0.00041678243956655425,-0.004367373552333409,-0.00041678243956655425,4037.011021416256,24.7474548375539,25.119951479106888,-1.8721829336066274,0.22209146323092024
7,NonFace,-0.02148227712137485,0.03329752953813109,0.0,0.0,-0.0239137064587559,3699.039807829623,17.844595217348804,18.323940139741943,6.374270322414585,2.8432581677416935
5,BioID,0.002629848783694988,0.0026298487836949325,-0.002629848783694936,-0.001635325705150792,0.002629848783694988,2343.236006520152,43.28337986898851,43.6181905001713,0.14952076755084318,1.1027126288279239
5,SoF,0.0037565740045079066,-0.004507888805409477,-0.003756574004507879,0.004353541312183129,0.0037565740045079066,3273.71971430391,27.046611305390872,27.2822830073909,-0.3362064736900409,0.48730160894449126
5,mit_cbcl,-0.004999999999999893,0.0,0.0050000000000000044,-1.1377858687100506e-05,-0.004999999999999893,1230.6788873576666,3.586792648126486,4.003055848347853,-4.642319271614791,0.28319750950310196
5,caltech,0.0022222222222222365,0.13777777777777778,-0.0022222222222222222,-0.053415213823429286,0.0022222222222222365,3816.411412627473,15.837030074201403,15.952752334489666,-2.2018837793931993,11.358854774546657
