dataset,total,correct,false_positive,false_negative,reject_levels,level_weights,time,pre_processing_time
cat,258,149,153,0,"[25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25]","[-0.08486390399048105, 2.691000004473608, 2.9052539946860634, 1.6453480922500603, 3.734167095331941, 1.0089499868336134, 2.975946096179541, 0.6681520246784203, 3.9630160269443877, 2.745502075413242, 3.0710750407888554, 1.06816508382326, -1.3308989715878852, -0.0222149133333005, 5.563547067751642, -0.0329298876458779, 4.219402078713756, 0.4300840661744587, 2.160500091908034, 3.6416160091175698, 0.08459401613799855, -0.170149915444199, 1.1325211435905658, 5.695915031188633, 0.2380959905567579, 2.525625170848798, 5.007361945521552, 0.9670071736327372, 3.4461090360418893, 1.1284762296709232, 6.289497111400124, 3.198821188067086, -1.314385902020149, 3.902902112749871, 0.5108849648968317, 0.43475403933553025, 1.808706090261694, 6.059350009483751, 1.1868721315986477, 0.528292212577071, 5.622558971110266, 2.421021970862057, 3.9190710749826394, 2.9931990692275576, 1.7579080412979238, 4.01409612147836, 3.627865031885449, 6.258707098138984, 1.5440851339953952, 4.5521649296279065, 6.845257072884124, 5.341790047998074, 2.2747780649806373, 2.708929094427731, 4.526921081764158, 4.902757035510149, 0.2091780374175869, 2.1108351854491048, 3.958577086799778, 4.035481955041178, 3.9575750174117275, 7.231095109251328, 1.2022971801343374, -0.6398178986855783, 5.1527280898881145, 1.339663928549271, 1.7228279746486805, 2.7271821168833412, 1.3871690604719333, 1.9702970687649213, 5.592263108061161, -1.6014849702478386, 1.8984020875068381, 2.5707511100918055, 4.37628523085732, 3.2725310014211573, 3.748427017882932, 2.0416860430850647, 1.7522590658045374, 2.740006054576952, 4.107237078191247, 3.196484145883005, 3.030311233305838, 3.0260050265933387, 3.580085026973393, 2.140064104227349, 1.1898210392682813, -0.17111594026209787, 4.565150991955306, 1.8867870198446326, 4.433545157953631, 3.185152102203574, 2.649610022024717, 6.467127038573381, 1.242810114461463, 0.47550492343725637, 1.8742499517393298, 7.413540213718079, -0.6653799403575249, 4.395079039211851, 3.939471149991732, 1.3080110265291296, 1.3214811364887282, -1.170223941851873, 5.758143096871208, 0.01875799655681476, -0.518329925253056, 0.08958407718455419, 0.7194979646592401]","[0.043693526, 0.023505591, 0.013735422, 0.062002246, 0.082105889, 0.073675933, 0.018537045, 0.045442332, 0.009497491, 0.023197022, 0.025089764, 0.048778394, 0.017184162, 0.039473704, 0.140359551, 0.021143419, 0.040448725, 0.027021016, 0.010411414, 0.016086788, 0.028254495, 0.01990706, 0.056289045, 0.390230365, 0.050286752, 0.048701543, 0.019886612, 0.020599141, 0.015297843, 0.058096604, 0.038734438, 0.235948727, 0.014564661, 0.042785622, 0.009582709, 0.04677924, 0.026967278, 0.018630322, 0.018674352, 0.024785822, 0.010084869, 0.071998006, 0.064598208, 0.039008305, 0.038170496, 0.03009605, 0.04158, 0.040182348, 0.284415447, 0.046354599, 0.021142236, 0.005629109, 0.074384387, 0.023663858, 0.046954154, 0.030160738, 0.232177272, 0.005618796, 0.05601863, 0.014885703, 0.039632444, 0.018339215, 0.007789895, 0.020475925, 0.035449258, 0.015519566, 0.058316229, 0.042482322, 0.082503735, 0.043260086, 0.006386421, 0.042607444, 0.395375382, 0.053145717, 0.015757027, 0.05705206, 0.040417698, 0.017055316, 0.051747433, 0.011571853, 0.018836204, 0.008321338, 0.06009002, 0.027118606, 0.042357161, 0.028835989, 0.008794724, 0.023422485, 0.048714075, 0.064326319, 0.070859982, 0.022587116, 0.094603957, 0.015141288, 0.041597637, 0.050903072, 0.026816307, 0.030152126, 0.031645051, 0.019966383, 0.027240977, 0.037631814, 0.050812082, 0.036972462, 0.040847362, 0.047625531, 0.045360579, 0.027180298, 0.081805604, 0.027417327, 0.164386034, 0.021906218, 0.022932006, 0.03300484, 0.003903555, 0.019964607, 0.058162421, 0.076070596, 0.085945536, 0.028146815, 0.045801106, 0.034478499, 0.028460803, 0.048205923, 0.065533444, 0.268016372, 0.03469516, 0.025755548, 0.021277596, 0.039109175, 0.027909444, 0.014369847, 0.059428666, 0.022234838, 0.039525961, 0.030175736, 0.032672803, 0.01456138, 0.024496918, 0.02648861, 0.038060668, 0.050820889, 0.228576178, 0.049033185, 0.059887867, 0.014137755, 0.092187287, 0.060146302, 0.049627967, 0.018295776, 0.041091864, 0.037325624, 0.010775909, 0.023823315, 0.038427219, 0.053742503, 0.028283765, 0.378002316, 0.027080297, 0.025554687, 0.021413444, 0.025694607, 0.036551148, 0.028864061, 0.008800402, 0.020624272, 0.049607358, 0.032986048, 0.02059659, 0.034563526, 0.036568012, 0.029350467, 0.006123444, 0.014429698, 0.007142154, 0.018720452, 0.14335504, 0.054265461, 0.040556962, 0.021524034, 0.094623342, 0.037545762, 0.015181336, 0.014242657, 0.030233953, 0.067871494, 0.024883427, 0.034679651, 0.053625655, 0.017002765, 0.025388601, 0.024893556, 0.030212436, 0.174437765, 0.013791788, 0.027594925, 0.029557739, 0.028764826, 0.01618198, 0.03618044, 0.037851325, 0.031894427, 0.030546056, 0.02657688, 0.028420334, 0.019725077, 0.032018519, 0.028563854, 0.072932962, 0.014543716, 0.051682946, 0.165198829, 0.01543656, 0.019883224, 0.058817252, 0.027047206, 0.042726151, 0.010416753, 0.07011344, 0.004060397, 0.036871903, 0.021612529, 0.04835309, 0.010948414, 0.053846242, 0.04950681, 0.041301955, 0.05255133, 0.076100754, 0.043023109, 0.013043934, 0.019766996, 0.028160272, 0.033392511, 0.089355911, 0.021350633, 0.027015769, 0.021828411, 0.037629529, 0.017591114, 0.03573167, 0.021115743, 0.015284163, 0.020200063, 0.072722302, 0.025169256, 0.212514857, 0.020704503, 0.021031357, 0.034620638, 0.038333471, 0.043324439, 0.04535801, 0.026376796, 0.037427135, 0.024778404, 0.051563526, 0.053225202]","[0.094899994, 0.05001824, 0.033141911, 0.117640536, 0.247251969, 0.406150607, 0.075878742, 0.086500724, 0.017903082, 0.050173918, 0.115750575, 0.114347763, 0.059287009, 0.091230821, 0.734323851, 0.038146622, 0.09167014, 0.086855843, 0.020940121, 0.081179117, 0.096240222, 0.031576564, 0.103951699, 0.600287782, 0.103134422, 0.10247944, 0.085619054, 0.035562071, 0.053963207, 0.112602269, 0.107957917, 0.505330771, 0.087643009, 0.086960347, 0.026042084, 0.060467779, 0.056298545, 0.054777097, 0.079474, 0.082265932, 0.023549898, 0.115792115, 0.108530993, 0.098081013, 0.068316256, 0.070276486, 0.104313906, 0.092391064, 0.659501501, 0.098418992, 0.081094666, 0.037651477, 0.121311277, 0.085662026, 0.074710488, 0.102046135, 0.738033448, 0.013150883, 0.098351645, 0.055212665, 0.092450107, 0.068838041, 0.020764763, 0.066412579, 0.089639647, 0.042555418, 0.10420557, 0.099731079, 0.119300241, 0.081742782, 0.023259287, 0.090980682, 0.224108902, 0.380447692, 0.044170791, 0.101022899, 0.093976437, 0.082406088, 0.092587709, 0.023621581, 0.068817415, 0.024235665, 0.100631499, 0.100517773, 0.062593427, 0.051714379, 0.017337619, 0.042680057, 0.116476563, 0.114087123, 0.098554167, 0.081193738, 0.10890994, 0.03007694, 0.089196646, 0.097573233, 0.082752089, 0.085691438, 0.08919573, 0.060863474, 0.072404202, 0.09069536, 0.097919245, 0.063743055, 0.093238337, 0.096400571, 0.106379691, 0.057947683, 0.099070473, 0.082695458, 0.456249657, 0.299199421, 0.082339736, 0.093822297, 0.018519586, 0.077700597, 0.099774057, 0.098714862, 0.11370919, 0.068819461, 0.09677803, 0.089193829, 0.053546744, 0.061187513, 0.102058923, 0.302919692, 0.390964506, 0.091618306, 0.06745331, 0.093455609, 0.066949794, 0.022727643, 0.103268416, 0.057455908, 0.096413141, 0.083296665, 0.093339398, 0.027615506, 0.063611145, 0.079116292, 0.050501939, 0.08453685, 0.244720093, 0.486548287, 0.10207825, 0.03652932, 0.117341761, 0.093114472, 0.092306701, 0.039920486, 0.101896391, 0.073196093, 0.035203129, 0.094449205, 0.062603276, 0.096236555, 0.066703953, 0.136887843, 0.464236205, 0.07208062, 0.081431758, 0.055518525, 0.10032844, 0.087059758, 0.02657932, 0.052146254, 0.093628259, 0.087428613, 0.05496693, 0.09017971, 0.093496184, 0.081843306, 0.053084402, 0.025416406, 0.028357454, 0.049585313, 0.424295647, 0.392530261, 0.092980714, 0.060361363, 0.111145441, 0.100195546, 0.0322882, 0.036008939, 0.056469596, 0.096835069, 0.050269222, 0.074058007, 0.094283662, 0.061261828, 0.073546246, 0.055239933, 0.054714014, 0.428780551, 0.143765568, 0.060360903, 0.064377653, 0.056548074, 0.029081378, 0.084199915, 0.088052878, 0.077813136, 0.08594159, 0.05040523, 0.096553103, 0.094203813, 0.074469613, 0.063998107, 0.091168794, 0.030140018, 0.093246154, 0.43562423, 0.212996494, 0.03396804, 0.094918706, 0.084478914, 0.093718926, 0.025386615, 0.102478319, 0.014756344, 0.084211886, 0.075485273, 0.107491162, 0.024568517, 0.079449005, 0.098207049, 0.106109834, 0.100384182, 0.166069308, 0.588141703, 0.053707229, 0.037746415, 0.051319224, 0.079635647, 0.111465879, 0.060844729, 0.080217265, 0.082778047, 0.071677567, 0.046034489, 0.105843095, 0.04007125, 0.024818157, 0.063001719, 0.108369159, 0.089094138, 0.721459966, 0.06563586, 0.055214698, 0.065653744, 0.061377487, 0.095466995, 0.105107687, 0.073286424, 0.099777941, 0.050544723, 0.09852759, 0.088762538]"
forest,127,114,13,0,"[25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25]","[2.2012191513204016, 1.6228310434962623, 1.6465791065129451, 1.4400060262414627, 2.3142821166547947, 5.108716008195188, 1.684446137980558, -0.8923280203598551, 1.4952000015764497, 2.1018359961453825, -0.033922015165444463, 1.4412920022732578, 4.075018065457698]","[0.011648386, 0.014729371, 0.017292059, 0.015454532, 0.018021076, 0.01130465, 0.018524757, 0.013854656, 0.099190407, 0.11643841, 0.105108031, 0.014146412, 0.014143387, 0.011480929, 0.013548836, 0.005725978, 0.013943852, 0.014417376, 0.017133466, 0.013080879, 0.013165574, 0.014231803, 0.015065461, 0.014395727, 0.012971415, 0.015943536, 0.01180022, 0.012094237, 0.011647625, 0.015888431, 0.010536082, 0.014937603, 0.015544143, 0.012380891, 0.016547337, 0.013800904, 0.013797557, 0.015136589, 0.012825764, 0.01487824, 0.01537471, 0.013403137, 0.016243777, 0.014643021, 0.012382018, 0.01156879, 0.016200964, 0.014280563, 0.009109706, 0.013242936, 0.014895786, 0.019539485, 0.013430104, 0.01020453, 0.015898668, 0.013544253, 0.012493022, 0.01714197, 0.014620799, 0.008994664, 0.013456957, 0.01398339, 0.01686272, 0.015514624, 0.01154528, 0.011719151, 0.011619693, 0.012898661, 0.014695341, 0.012456202, 0.009335225, 0.012335582, 0.014457542, 0.01388843, 0.01653355, 0.01262392, 0.010484019, 0.013498851, 0.016726621, 0.008937709, 0.009826829, 0.012846698, 0.011664906, 0.01483205, 0.010322756, 0.018260275, 0.103040406, 0.145905497, 0.011754433, 0.013475033, 0.013409239, 0.015702286, 0.01460706, 0.01159141, 0.014087353, 0.015372217, 0.01425206, 0.014018735, 0.013714001, 0.009828689, 0.013047351, 0.004709674, 0.015428618, 0.01287943, 0.01572984, 0.018972026, 0.124703809, 0.113991109, 0.083782111, 0.014179737, 0.012153388, 0.011534797, 0.015022549, 0.012546136, 0.01285859, 0.014262701, 0.011831006, 0.014257829, 0.014916201, 0.012681712, 0.010272164, 0.010350614, 0.013524983, 0.015602157, 0.015828292, 0.012459709, 0.012930468]","[0.022890716, 0.023127181, 0.023109378, 0.022905828, 0.023096729, 0.022981252, 0.023077991, 0.023089122, 0.023067759, 0.188631113, 0.189861777, 0.022648223, 0.022423165, 0.022509776, 0.022458501, 0.022422661, 0.022387642, 0.022666631, 0.022466939, 0.02242151, 0.022487694, 0.022461581, 0.02243336, 0.022583271, 0.022483256, 0.022439761, 0.022396965, 0.022404801, 0.022452649, 0.022466245, 0.022484825, 0.022417214, 0.022500096, 0.022508026, 0.022276638, 0.024540809, 0.022463737, 0.022752727, 0.022448342, 0.022450893, 0.022396672, 0.02241135, 0.02244802, 0.022492297, 0.022523131, 0.022389395, 0.022384235, 0.022444144, 0.02238844, 0.022420837, 0.02246755, 0.022436741, 0.022432026, 0.022440868, 0.023108876, 0.022456411, 0.022439148, 0.022424903, 0.02249427, 0.022396027, 0.022996606, 0.022662207, 0.022418424, 0.022407481, 0.022398243, 0.022392377, 0.022494285, 0.022557046, 0.022427839, 0.02241763, 0.022478513, 0.022420499, 0.022474321, 0.02317261, 0.022483206, 0.022608291, 0.022440014, 0.022550892, 0.022450543, 0.022428021, 0.022518, 0.022428398, 0.022430984, 0.022422569, 0.022460697, 0.022445205, 0.191145576, 0.18896155, 0.023725127, 0.02235426, 0.022701466, 0.022392593, 0.022389922, 0.02236279, 0.022830505, 0.022384003, 0.02247036, 0.02238709, 0.022366837, 0.022395015, 0.022471533, 0.022470669, 0.022800589, 0.022835253, 0.022767963, 0.02261977, 0.030922709, 0.192242368, 0.189320951, 0.022200187, 0.02239413, 0.022378043, 0.02244988, 0.022361086, 0.022412709, 0.023070474, 0.022388828, 0.022425524, 0.022450977, 0.022440852, 0.022419626, 0.022350759, 0.022466019, 0.022339247, 0.022366072, 0.022308481, 0.022371698]"
flower,226,135,140,0,"[25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25]","[2.313660040323157, 1.6235781194991432, -0.3200517761288211, 4.802375098806806, 4.444451941468287, 2.053741099254694, 4.9727180827758275, 0.23254410520894453, 5.59356108418433, 1.0519210819038562, 0.40180104126920924, 2.3942170235677622, 4.440586085489485, 2.67110811494058, 2.016800111567136, 3.134955972840544, 2.6722480341559276, 2.1534390616579913, -0.3461459294776432, 4.735327951493673, -1.9282139329006895, 4.633722148078959, 3.854943111015018, 3.0789629811770283, 2.253431042365264, 5.225935039343312, 5.871410987281706, 3.481229156604968, 4.701257986656856, 3.5931970727979206, 3.628394990693778, 2.7260329834534787, 4.917924163339194, -0.384937769791577, 0.7397441026987508, 0.6581332056084648, 1.249153999320697, 3.1444301702431403, 0.05737506732111797, -0.8274728552205488, 3.9203440551063977, 0.707601243571844, 0.2515570721006952, 2.9663930573733523, 6.1491451898473315, 3.2160320733091794, 1.694152956304606, 3.796835084736813, 1.8016260793665424, 5.412074925552588, 1.8105410667485557, -1.5639048095908947, 3.1474870060919784, 2.168383058567997, 1.3887950739590451, 2.055720118514728, 2.1269321648287587, 3.0482860758784227, 1.8605149865034036, 2.9434271582285874, 2.5029591300408356, 1.9201221316470765, 2.0698311321320944, 2.4960700789815746, 0.9270169915980659, 0.7553089714492671, 1.911215009575244, 3.171151058690157, 0.9567921207635663, 0.8680950025445782, -1.2824809307348914, 0.6062221053871326, 7.324829097779002, 0.46890112425899133, 3.5552550632855855, -0.058397956017870456, 0.5683220001519658, 0.7572880272637121, 3.8142451261519454, 1.8348071408690885, 2.9573920363909565, 3.8858311022049747, 3.365898082673084, 1.3229740039096214, 1.8195830520126037, -0.3272280232049525, 0.34457105718320236, 0.08470302069326863, 1.6632799850194715, 4.821600064111408, 4.731547126895748]","[0.098504509, 0.068796445, 0.043014453, 0.044439914, 0.007294103, 0.035870534, 0.075369213, 0.040810256, 0.085994245, 0.069565575, 0.004218726, 0.092484047, 0.023197694, 0.047726588, 0.032298816, 0.089472415, 0.00300675, 0.049710499, 0.051534241, 0.373032587, 0.062468673, 0.069713869, 0.011740024, 0.012174716, 0.01513173, 0.063175917, 0.035521313, 0.015193378, 0.081002032, 0.069484099, 0.2562936, 0.039338202, 0.058313776, 0.167937949, 0.055252492, 0.010910146, 0.048800116, 0.0657624, 0.021035096, 0.05765806, 0.039805547, 0.012412189, 0.032296069, 0.030978371, 0.082969873, 0.018152209, 0.021677384, 0.089208504, 0.050019233, 0.113764666, 0.048285562, 0.010085432, 0.061946455, 0.047935382, 0.041644396, 0.072821705, 0.030246898, 0.014334011, 0.013473086, 0.02032555, 0.054380131, 0.019705791, 0.055794784, 0.648543307, 0.022566371, 0.066292997, 0.009752892, 0.012918695, 0.041644127, 0.033609971, 0.007593802, 0.069609852, 0.002240762, 0.004441114, 0.003518454, 0.040143457, 0.080171685, 0.054728399, 0.083737244, 0.334959819, 0.04635129, 0.141761078, 0.069035458, 0.018872579, 0.031973912, 0.083835685, 0.009958851, 0.041795243, 0.090554577, 0.024258512, 0.526203379, 0.020510648, 0.006909351, 0.05505518, 0.019382344, 0.016121162, 0.01973094, 0.042182557, 0.002862029, 0.038986599, 0.048700206, 0.040421161, 0.055239563, 0.045571455, 0.133627, 0.025130704, 0.045006524, 0.005187736, 0.050415278, 0.03098056, 0.021814898, 0.1361046, 0.032036521, 0.041214304, 0.105606054, 0.043979646, 0.087501611, 0.013097021, 0.067101691, 0.072926025, 0.062827132, 0.131006397, 0.035877878, 0.047526142, 0.061307882, 0.050275055, 0.044368372, 0.019308957, 0.050360843, 0.061304217, 0.01106605, 0.036241744, 0.020178188, 0.404287003, 0.136429708, 0.03516772, 0.035795797, 0.043845231, 0.01936018, 0.011494857, 0.058413112, 0.082751356, 0.167501059, 0.034204143, 0.002092024, 0.068757961, 0.009711819, 0.062970119, 0.072439693, 0.00907825, 0.288689957, 0.047274236, 0.01826415, 0.035492514, 0.088712796, 0.112549437, 0.018015392, 0.014866349, 0.494349281, 0.124976816, 0.090985638, 0.026248684, 0.035666999, 0.015020186, 0.031412495, 0.047815925, 0.030103084, 0.036092201, 0.177104973, 0.054853753, 0.070631115, 0.034850358, 0.003899864, 0.051023434, 0.032866982, 0.015026817, 0.016140233, 0.109204984, 0.055077674, 0.083637394, 0.073111353, 0.229559176, 0.103664675, 0.104485271, 0.020722805, 0.084579889, 0.025251577, 0.005792511, 0.033257669, 0.016327937, 0.014020404, 0.046121306, 0.049678566, 0.075407378, 0.069828246, 0.018011585, 0.011290531, 0.131029195, 0.020986094, 0.025530742, 0.030027183, 0.022629285, 0.069541286, 0.018461794, 0.47558695, 0.041461503, 0.114627283, 0.072144926, 0.004521342, 0.00497048, 0.082906507, 0.388348318, 0.003417718, 0.044575325, 0.041450232, 0.023899993, 0.029482081, 0.02861905, 0.002535642, 0.05567595, 0.162178491, 0.026423584, 0.192471132, 0.109599117, 0.387581601, 0.052758491]","[0.236849043, 0.111772712, 0.070382354, 0.056417487, 0.033661049, 0.064202187, 0.102448899, 0.083611281, 0.102775662, 0.09967758, 0.011870496, 0.096993255, 0.055944439, 0.100375889, 0.054689636, 0.113109246, 0.014564187, 0.086564962, 0.1015412, 0.148922433, 0.283365506, 0.106095142, 0.02544486, 0.059985996, 0.031684631, 0.102631797, 0.107865587, 0.086783198, 0.105006702, 0.149321427, 0.240305864, 0.109776264, 0.104889823, 0.249840301, 0.102715745, 0.029173939, 0.134155067, 0.11795164, 0.063305088, 0.099517596, 0.102632237, 0.04093863, 0.087850262, 0.102582229, 0.098035245, 0.043249183, 0.088398244, 0.110588803, 0.108437528, 0.109853151, 0.066441721, 0.02283743, 0.109095836, 0.107433537, 0.082794709, 0.114540654, 0.108845267, 0.07001874, 0.035918758, 0.037283526, 0.095204236, 0.034355701, 0.098833588, 0.135294686, 0.232710641, 0.126447966, 0.022407148, 0.037135457, 0.098200203, 0.105274687, 0.028142347, 0.102834277, 0.013267044, 0.015581043, 0.01483242, 0.099920334, 0.100925791, 0.085151393, 0.110588203, 0.099436829, 0.585545411, 0.264235634, 0.1049914, 0.038949066, 0.089454523, 0.175256466, 0.043841228, 0.10633515, 0.20523787, 0.06732357, 0.179776551, 0.290693002, 0.02408793, 0.110417001, 0.079996162, 0.044907609, 0.06689095, 0.087566644, 0.010377867, 0.096971802, 0.094656039, 0.090720358, 0.11915033, 0.104224943, 0.272247297, 0.094992981, 0.092971449, 0.021968582, 0.12240667, 0.062871071, 0.069011105, 0.202025219, 0.092773412, 0.097403508, 0.153147893, 0.108823886, 0.114545464, 0.068351249, 0.045156855, 0.158537129, 0.166390917, 0.222852292, 0.102529328, 0.093468435, 0.106257087, 0.09854572, 0.095514676, 0.03892383, 0.097445061, 0.098713644, 0.044106206, 0.107550743, 0.04212371, 0.156956683, 0.245004443, 0.058873456, 0.08172761, 0.106605502, 0.034158422, 0.023818742, 0.095384025, 0.109689318, 0.301047602, 0.465744293, 0.016074499, 0.100081105, 0.028508479, 0.154520324, 0.108790429, 0.026929218, 0.106594938, 0.545834953, 0.036520437, 0.055341851, 0.098995293, 0.249858288, 0.031276413, 0.040799264, 0.580047226, 0.148013195, 0.101553121, 0.055451798, 0.096997537, 0.031862951, 0.097445341, 0.139516485, 0.08192162, 0.10355651, 0.291607039, 0.110413554, 0.102432515, 0.094143728, 0.026425407, 0.108063589, 0.0594162, 0.035975327, 0.037466267, 0.123491343, 0.101772309, 0.105178604, 0.105318037, 0.112706079, 0.46808071, 0.237497813, 0.03048577, 0.100300024, 0.053987767, 0.020328885, 0.09282213, 0.062514341, 0.061919311, 0.102049168, 0.102462861, 0.106652609, 0.108054331, 0.035606109, 0.026375981, 0.786443113, 0.070882915, 0.086201846, 0.046636858, 0.08586381, 0.206638271, 0.036685768, 0.384291503, 0.138386062, 0.160714387, 0.115763998, 0.024484475, 0.019810478, 0.115326289, 0.672801362, 0.013091231, 0.084258286, 0.081561806, 0.039388623, 0.098506716, 0.115518322, 0.016380901, 0.109596475, 0.667451038, 0.05774863, 0.316173936, 0.158432134, 0.424806072, 0.188447865]"
